# wavelength,transmission
1099.9228645834594,0.0
1099.8421593151193,0.0
1099.7614658891773,0.0
1099.6807843030278,0.0
1099.600114554065,0.0
1099.5194566396838,0.0
1099.43881055728,0.0
1099.358176304251,0.0
1099.2775538779933,0.0
1099.1969432759058,0.0
1099.116344495387,0.0
1099.035757533837,0.0
1098.9551823886563,0.0
1098.8746190572463,0.0
1098.7940675370082,0.0
1098.7135278253456,0.0
1098.6329999196619,0.0
1098.5524838173612,0.0
1098.471979515849,0.0
1098.39148701253,0.0
1098.3110063048123,0.0
1098.2305373901022,0.0
1098.1500802658081,0.0
1098.069634929339,0.0
1097.9892013781046,0.0
1097.9087796095148,0.0
1097.8283696209814,0.0
1097.7479714099159,0.0
1097.667584973731,0.0
1097.5872103098397,0.0
1097.5068474156571,0.0
1097.4264962885977,0.0
1097.346156926077,0.0
1097.2658293255117,0.0
1097.185513484319,0.0
1097.1052093999165,0.0
1097.0249170697232,0.0
1096.9446364911587,0.0
1096.864367661643,0.0
1096.7841105785972,0.0
1096.7038652394428,0.0
1096.6236316416027,0.0
1096.5434097824998,0.0
1096.4631996595583,0.0
1096.3830012702028,0.0
1096.302814611859,0.0
1096.222639681953,0.0
1096.142476477912,0.0
1096.0623249971634,0.0
1095.9821852371363,0.0
1095.9020571952592,0.0
1095.8219408689627,0.0
1095.7418362556773,0.0
1095.661743352835,0.0
1095.5816621578672,0.0
1095.5015926682076,0.0
1095.42153488129,0.0
1095.3414887945485,0.0
1095.2614544054188,0.0
1095.1814317113365,0.0
1095.101420709739,0.0
1095.021421398063,0.0
1094.9414337737471,0.0
1094.8614578342308,0.0
1094.7814935769536,0.0
1094.7015409993555,0.0
1094.6216000988782,0.0
1094.5416708729638,0.0
1094.461753319055,0.0
1094.381847434595,0.0
1094.3019532170285,0.0
1094.2220706638002,0.0
1094.1421997723562,0.0
1094.0623405401423,0.0
1093.9824929646065,0.0
1093.9026570431963,0.0
1093.8228327733607,0.0
1093.743020152549,0.0
1093.6632191782114,0.0
1093.5834298477987,0.0
1093.503652158763,0.0
1093.4238861085564,0.0
1093.3441316946326,0.0
1093.264388914445,0.0
1093.184657765448,0.0
1093.104938245098,0.0
1093.0252303508507,0.0
1092.9455340801628,0.0
1092.8658494304918,0.0
1092.7861763992967,0.0
1092.7065149840362,0.0
1092.6268651821701,0.0
1092.547226991159,0.0
1092.467600408465,0.0
1092.3879854315492,0.0
1092.3083820578747,0.0
1092.2287902849055,0.0
1092.1492101101055,0.0
1092.0696415309394,0.0
1091.990084544874,0.0
1091.910539149375,0.0
1091.83100534191,0.0
1091.751483119947,0.0
1091.671972480954,0.0
1091.5924734224018,0.0
1091.5129859417596,0.0
1091.4335100364988,0.0
1091.3540457040908,0.0
1091.274592942008,0.0
1091.195151747724,0.0
1091.1157221187125,0.0
1091.0363040524476,0.0
1090.9568975464056,0.0
1090.877502598062,0.0
1090.7981192048933,0.0
1090.7187473643778,0.0
1090.6393870739937,0.0
1090.5600383312194,0.0
1090.4807011335354,0.0
1090.4013754784216,0.0
1090.3220613633598,0.0
1090.2427587858317,0.0
1090.1634677433199,0.0
1090.0841882333077,0.0
1090.0049202532798,0.0
1089.9256638007205,0.0
1089.846418873116,0.0
1089.7671854679522,0.0
1089.6879635827165,0.0
1089.6087532148965,0.0
1089.5295543619804,0.0
1089.4503670214588,0.0
