194.99	21
195.26	21
195.52	21
195.79	3
196.06	-5
196.33	18
196.6	29
196.87	23
197.13	-7
197.4	-7
197.67	-14
197.94	-13
198.21	-11
198.48	38
198.74	12
199.01	13
199.28	-23
199.55	35
199.82	17
200.09	15
200.35	5
200.62	21
200.89	-5
201.16	-2
201.43	21
201.69	-6
201.96	15
202.23	20
202.5	-12
202.77	20
203.04	2
203.3	21
203.57	-26
203.84	-23
204.11	-5
204.38	-17
204.64	13
204.91	-13
205.18	8
205.45	-10
205.72	11
205.98	-5
206.25	-4
206.52	2
206.79	6
207.06	-9
207.32	-22
207.59	11
207.86	5
208.13	-13
208.4	35
208.67	33
208.93	21
209.2	-4
209.47	1
209.74	-1
210	9
210.27	-7
210.54	6
210.81	-4
211.08	10
211.34	13
211.61	-4
211.88	4
212.15	-15
212.42	-4
212.68	-2
212.95	6
213.22	3
213.49	6
213.76	7
214.02	5
214.29	18
214.56	-9
214.83	12
215.09	7
215.36	25
215.63	-7
215.9	-20
216.17	24
216.43	16
216.7	-27
216.97	-13
217.24	6
217.5	9
217.77	16
218.04	18
218.31	-29
218.58	4
218.84	7
219.11	24
219.38	15
219.65	-15
219.91	2
220.18	-6
220.45	-12
220.72	5
220.98	16
221.25	2
221.52	19
221.79	21
222.05	-29
222.32	-2
222.59	4
222.86	-5
223.13	11
223.39	-2
223.66	-3
223.93	16
224.2	15
224.46	14
224.73	38
225	25
225.27	-9
225.53	12
225.8	15
226.07	1
226.34	2
226.6	-8
226.87	-13
227.14	14
227.41	5
227.67	25
227.94	-5
228.21	21
228.48	8
228.74	-3
229.01	2
229.28	15
229.55	12
229.81	33
230.08	19
230.35	-2
230.61	11
230.88	-7
231.15	13
231.42	-2
231.68	19
231.95	17
232.22	22
232.49	-9
232.75	-1
233.02	14
233.29	1
233.56	12
233.82	1
234.09	13
234.36	14
234.62	-3
234.89	11
235.16	9
235.43	4
235.69	5
235.96	7
236.23	-1
236.5	-11
236.76	15
237.03	46
237.3	20
237.56	39
237.83	17
238.1	8
238.37	0
238.63	-17
238.9	17
239.17	-23
239.43	0
239.7	0
239.97	34
240.24	-3
240.5	10
240.77	2
241.04	0
241.3	16
241.57	2
241.84	6
242.1	12
242.37	-17
242.64	10
242.91	6
243.17	14
243.44	-18
243.71	16
243.97	-6
244.24	1
244.51	-11
244.77	4
245.04	30
245.31	2
245.58	3
245.84	21
246.11	11
246.38	16
246.64	26
246.91	2
247.18	22
247.44	-18
247.71	24
247.98	36
248.24	-11
248.51	-11
248.78	-1
249.05	19
249.31	22
249.58	17
249.85	4
250.11	13
250.38	3
250.65	-19
250.91	-23
251.18	-4
251.45	-7
251.71	-3
251.98	23
252.25	-7
252.51	13
252.78	-7
253.05	-17
253.31	6
253.58	-7
253.85	21
254.11	-26
254.38	-1
254.65	8
254.91	18
255.18	5
255.45	-30
255.71	11
255.98	27
256.25	-20
256.51	-17
256.78	4
257.05	7
257.31	6
257.58	-10
257.85	9
258.11	-5
258.38	-1
258.65	20
258.91	28
259.18	28
259.45	13
259.71	-9
259.98	-12
260.25	1
260.51	33
260.78	5
261.05	-19
261.31	-11
261.58	14
261.85	9
262.11	-18
262.38	-4
262.65	-3
262.91	15
263.18	-2
263.44	0
263.71	10
263.98	-1
264.24	16
264.51	0
264.78	-5
265.04	5
265.31	0
265.58	-2
265.84	15
266.11	-24
266.37	12
266.64	11
266.91	12
267.17	7
267.44	16
267.71	9
267.97	3
268.24	-28
268.51	-1
268.77	19
269.04	12
269.3	29
269.57	21
269.84	-10
270.1	20
270.37	-13
270.64	-5
270.9	12
271.17	-5
271.43	-19
271.7	14
271.97	12
272.23	-19
272.5	4
272.77	-5
273.03	5
273.3	29
273.56	10
273.83	-10
274.1	13
274.36	12
274.63	-4
274.89	13
275.16	-4
275.43	-4
275.69	7
275.96	35
276.23	-1
276.49	16
276.76	-25
277.02	3
277.29	5
277.56	-25
277.82	23
278.09	16
278.35	24
278.62	16
278.89	-3
279.15	-3
279.42	-16
279.68	3
279.95	-2
280.22	3
280.48	0
280.75	9
281.01	9
281.28	26
281.55	17
281.81	17
282.08	25
282.34	16
282.61	18
282.87	18
283.14	-26
283.41	17
283.67	-12
283.94	6
284.2	-5
284.47	-13
284.74	10
285	9
285.27	18
285.53	24
285.8	11
286.06	11
286.33	4
286.6	-8
286.86	0
287.13	32
287.39	-13
287.66	14
287.93	35
288.19	5
288.46	-26
288.72	-2
288.99	8
289.25	28
289.52	-10
289.79	23
290.05	11
290.32	0
290.58	3
290.85	15
291.11	-7
291.38	6
291.64	-10
291.91	11
292.18	-1
292.44	22
292.71	-21
292.97	2
293.24	6
293.5	-8
293.77	6
294.04	25
294.3	12
294.57	14
294.83	1
295.1	12
295.36	17
295.63	29
295.89	11
296.16	11
296.43	-12
296.69	-1
296.96	2
297.22	-7
297.49	18
297.75	-16
298.02	-5
298.28	13
298.55	-11
298.81	20
299.08	27
299.35	-3
299.61	-22
299.88	17
300.14	-13
300.41	6
300.67	15
300.94	24
301.2	11
301.47	10
301.73	14
302	-11
302.26	-8
302.53	10
302.79	8
303.06	13
303.33	35
303.59	13
303.86	0
304.12	-8
304.39	-14
304.65	-21
304.92	6
305.18	19
305.45	-13
305.71	11
305.98	6
306.24	4
306.51	-13
306.77	-2
307.04	12
307.3	24
307.57	14
307.83	-8
308.1	4
308.36	-4
308.63	1
308.89	33
309.16	7
309.43	5
309.69	4
309.96	-7
310.22	25
310.49	4
310.75	-13
311.02	-7
311.28	15
311.55	6
311.81	-3
312.08	-2
312.34	13
312.61	1
312.87	12
313.14	6
313.4	18
313.67	21
313.93	15
314.2	6
314.46	19
314.73	-29
314.99	-14
315.26	20
315.52	-18
315.79	11
316.05	-13
316.32	12
316.58	10
316.85	22
317.11	10
317.38	19
317.64	5
317.91	3
318.17	0
318.43	6
318.7	1
318.96	12
319.23	-5
319.49	25
319.76	-16
320.02	5
320.29	-17
320.55	15
320.82	10
321.08	12
321.35	-18
321.61	15
321.88	30
322.14	-40
322.41	2
322.67	21
322.94	-15
323.2	-9
323.47	22
